arxivId,authors,citationVelocity,num_citations,corpusId,doi,fieldsOfStudy,influentialCitationCount,is_open_access,is_publisher_licensed,paperId,num_references,title,topics,url,venue,year,parent
1703.06870,"[{'authorId': '39353098', 'name': 'Kaiming He', 'url': 'https://www.semanticscholar.org/author/39353098'}, {'authorId': '2082991', 'name': 'Georgia Gkioxari', 'url': 'https://www.semanticscholar.org/author/2082991'}, {'authorId': '3127283', 'name': 'Piotr Dollár', 'url': 'https://www.semanticscholar.org/author/3127283'}, {'authorId': '2983898', 'name': 'Ross B. Girshick', 'url': 'https://www.semanticscholar.org/author/2983898'}]",789,2458,206771194,10.1109/ICCV.2017.322,['Computer Science'],745,False,True,ea99a5535388196d0d44be5b4d7dd02029a43bb2,45,Mask R-CNN,"[{'topic': 'Minimum bounding box', 'topicId': '195508', 'url': 'https://www.semanticscholar.org/topic/195508'}, {'topic': 'Object detection', 'topicId': '14349', 'url': 'https://www.semanticscholar.org/topic/14349'}, {'topic': 'Baseline (configuration management)', 'topicId': '3403', 'url': 'https://www.semanticscholar.org/topic/3403'}, {'topic': 'Overhead (computing)', 'topicId': '4163', 'url': 'https://www.semanticscholar.org/topic/4163'}]",https://www.semanticscholar.org/paper/ea99a5535388196d0d44be5b4d7dd02029a43bb2,2017 IEEE International Conference on Computer Vision (ICCV),2017,-1
,"[{'authorId': '5886094', 'name': 'Pierre Cochat', 'url': 'https://www.semanticscholar.org/author/5886094'}, {'authorId': '13267685', 'name': 'L Vaucoret', 'url': 'https://www.semanticscholar.org/author/13267685'}, {'authorId': '31455512', 'name': 'Jacques Sarles', 'url': 'https://www.semanticscholar.org/author/31455512'}]",3331,9988,11759366,10.1016/j.arcped.2012.01.013,['Medicine'],2743,False,False,10d85561e4aafc516d10064f30dff05b41f70afe,0,[Et al].,[],https://www.semanticscholar.org/paper/10d85561e4aafc516d10064f30dff05b41f70afe,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie,2012,0
1604.01685,"[{'authorId': '2841796', 'name': 'Marius Cordts', 'url': 'https://www.semanticscholar.org/author/2841796'}, {'authorId': '144187309', 'name': 'Mohamed Omran', 'url': 'https://www.semanticscholar.org/author/144187309'}, {'authorId': '39940699', 'name': 'Sebastian Ramos', 'url': 'https://www.semanticscholar.org/author/39940699'}, {'authorId': '3393153', 'name': 'Timo Rehfeld', 'url': 'https://www.semanticscholar.org/author/3393153'}, {'authorId': '1765022', 'name': 'Markus Enzweiler', 'url': 'https://www.semanticscholar.org/author/1765022'}, {'authorId': '1798000', 'name': 'Rodrigo Benenson', 'url': 'https://www.semanticscholar.org/author/1798000'}, {'authorId': '145582788', 'name': 'Uwe Franke', 'url': 'https://www.semanticscholar.org/author/145582788'}, {'authorId': '145920814', 'name': 'Stefan Roth', 'url': 'https://www.semanticscholar.org/author/145920814'}, {'authorId': '48920094', 'name': 'Bernt Schiele', 'url': 'https://www.semanticscholar.org/author/48920094'}]",675,2365,502946,10.1109/CVPR.2016.350,['Computer Science'],685,True,True,c8c494ee5488fe20e0aa01bddf3fc4632086d654,78,The Cityscapes Dataset for Semantic Urban Scene Understanding,"[{'topic': 'Deep learning', 'topicId': '2762', 'url': 'https://www.semanticscholar.org/topic/2762'}, {'topic': 'Benchmark (computing)', 'topicId': '1374', 'url': 'https://www.semanticscholar.org/topic/1374'}, {'topic': 'Object detection', 'topicId': '14349', 'url': 'https://www.semanticscholar.org/topic/14349'}, {'topic': 'Pixel', 'topicId': '4254', 'url': 'https://www.semanticscholar.org/topic/4254'}, {'topic': 'Performance Evaluation', 'topicId': '91975', 'url': 'https://www.semanticscholar.org/topic/91975'}, {'topic': 'Display resolution', 'topicId': '11387', 'url': 'https://www.semanticscholar.org/topic/11387'}, {'topic': 'Heart rate variability', 'topicId': '48524', 'url': 'https://www.semanticscholar.org/topic/48524'}, {'topic': 'Semantic role labeling', 'topicId': '210616', 'url': 'https://www.semanticscholar.org/topic/210616'}]",https://www.semanticscholar.org/paper/c8c494ee5488fe20e0aa01bddf3fc4632086d654,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2016,0
1611.08050,"[{'authorId': '47060433', 'name': 'Zhe Cao', 'url': 'https://www.semanticscholar.org/author/47060433'}, {'authorId': '2915997', 'name': 'Tomáš Šimon', 'url': 'https://www.semanticscholar.org/author/2915997'}, {'authorId': '2797981', 'name': 'Shih-En Wei', 'url': 'https://www.semanticscholar.org/author/2797981'}, {'authorId': '1774867', 'name': 'Yaser Sheikh', 'url': 'https://www.semanticscholar.org/author/1774867'}]",477,1598,16224674,10.1109/CVPR.2017.143,['Computer Science'],396,True,True,9e8db1519245426f3a78752a3d8360484f4626b1,40,Realtime Multi-person 2D Pose Estimation Using Part Affinity Fields,"[{'topic': 'OpenCV', 'topicId': '221823', 'url': 'https://www.semanticscholar.org/topic/221823'}, {'topic': 'Greedy algorithm', 'topicId': '4173', 'url': 'https://www.semanticscholar.org/topic/4173'}, {'topic': 'Retargeting', 'topicId': '112399', 'url': 'https://www.semanticscholar.org/topic/112399'}, {'topic': 'Real-time computing', 'topicId': '172684', 'url': 'https://www.semanticscholar.org/topic/172684'}, {'topic': '3D pose estimation', 'topicId': '16658', 'url': 'https://www.semanticscholar.org/topic/16658'}, {'topic': 'Refinement (computing)', 'topicId': '5410', 'url': 'https://www.semanticscholar.org/topic/5410'}, {'topic': 'Human–computer interaction', 'topicId': '463', 'url': 'https://www.semanticscholar.org/topic/463'}, {'topic': 'Run time (program lifecycle phase)', 'topicId': '896', 'url': 'https://www.semanticscholar.org/topic/896'}, {'topic': 'Bottom-up parsing', 'topicId': '682974', 'url': 'https://www.semanticscholar.org/topic/682974'}, {'topic': 'Benchmark (computing)', 'topicId': '1374', 'url': 'https://www.semanticscholar.org/topic/1374'}, {'topic': 'Processor affinity', 'topicId': '637346', 'url': 'https://www.semanticscholar.org/topic/637346'}, {'topic': 'Affinity analysis', 'topicId': '372539', 'url': 'https://www.semanticscholar.org/topic/372539'}]",https://www.semanticscholar.org/paper/9e8db1519245426f3a78752a3d8360484f4626b1,2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2017,0
1506.01497,"[{'authorId': '3080683', 'name': 'Shaoqing Ren', 'url': 'https://www.semanticscholar.org/author/3080683'}, {'authorId': '39353098', 'name': 'Kaiming He', 'url': 'https://www.semanticscholar.org/author/39353098'}, {'authorId': '2983898', 'name': 'Ross B. Girshick', 'url': 'https://www.semanticscholar.org/author/2983898'}, {'authorId': '144716314', 'name': 'Jian Sun', 'url': 'https://www.semanticscholar.org/author/144716314'}]",3540,9992,10328909,10.1109/TPAMI.2016.2577031,"['Computer Science', 'Medicine']",3365,True,True,424561d8585ff8ebce7d5d07de8dbf7aae5e7270,22,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[{'topic': 'Object detection', 'topicId': '14349', 'url': 'https://www.semanticscholar.org/topic/14349'}, {'topic': 'Reverse Polish notation', 'topicId': '575067', 'url': 'https://www.semanticscholar.org/topic/575067'}, {'topic': 'Cross-reference', 'topicId': '778671', 'url': 'https://www.semanticscholar.org/topic/778671'}, {'topic': 'Bottleneck (engineering)', 'topicId': '469076', 'url': 'https://www.semanticscholar.org/topic/469076'}, {'topic': 'Real-time computing', 'topicId': '172684', 'url': 'https://www.semanticscholar.org/topic/172684'}, {'topic': 'End-to-end principle', 'topicId': '299633', 'url': 'https://www.semanticscholar.org/topic/299633'}, {'topic': 'Computation', 'topicId': '339', 'url': 'https://www.semanticscholar.org/topic/339'}, {'topic': 'Time complexity', 'topicId': '3448', 'url': 'https://www.semanticscholar.org/topic/3448'}, {'topic': 'Neural Network Simulation', 'topicId': '6986', 'url': 'https://www.semanticscholar.org/topic/6986'}, {'topic': 'Artificial neural network', 'topicId': '6213', 'url': 'https://www.semanticscholar.org/topic/6213'}, {'topic': 'Nomenclature', 'topicId': '53577', 'url': 'https://www.semanticscholar.org/topic/53577'}, {'topic': 'Algorithm', 'topicId': '305', 'url': 'https://www.semanticscholar.org/topic/305'}, {'topic': 'Real-time transcription', 'topicId': '763488', 'url': 'https://www.semanticscholar.org/topic/763488'}, {'topic': 'Foundations', 'topicId': '7801', 'url': 'https://www.semanticscholar.org/topic/7801'}, {'topic': 'Real-time clock', 'topicId': '121831', 'url': 'https://www.semanticscholar.org/topic/121831'}, {'topic': 'Deep learning', 'topicId': '2762', 'url': 'https://www.semanticscholar.org/topic/2762'}, {'topic': 'Graphics processing unit', 'topicId': '8807', 'url': 'https://www.semanticscholar.org/topic/8807'}, {'topic': 'Track (course)', 'topicId': '108344', 'url': 'https://www.semanticscholar.org/topic/108344'}, {'topic': 'Reference lab test reference range:Finding:time reported elsewhere:Reference lab test:Nominal', 'topicId': '4286068', 'url': 'https://www.semanticscholar.org/topic/4286068'}, {'topic': 'Merge', 'topicId': '35368', 'url': 'https://www.semanticscholar.org/topic/35368'}, {'topic': 'Pineal Region Yolk Sac Tumor', 'topicId': '4370945', 'url': 'https://www.semanticscholar.org/topic/4370945'}]",https://www.semanticscholar.org/paper/424561d8585ff8ebce7d5d07de8dbf7aae5e7270,IEEE Transactions on Pattern Analysis and Machine Intelligence,2015,2
,"[{'authorId': '144361581', 'name': 'Jonathan Long', 'url': 'https://www.semanticscholar.org/author/144361581'}, {'authorId': '1782282', 'name': 'Evan Shelhamer', 'url': 'https://www.semanticscholar.org/author/1782282'}, {'authorId': '1753210', 'name': 'Trevor Darrell', 'url': 'https://www.semanticscholar.org/author/1753210'}]",2667,9174,56507745,10.1109/CVPR.2015.7298965,['Computer Science'],1924,True,True,9201bf6f8222c2335913002e13fbac640fc0f4ec,0,Fully convolutional networks for semantic segmentation,"[{'topic': 'biologic segmentation', 'topicId': '6321838', 'url': 'https://www.semanticscholar.org/topic/6321838'}]",https://www.semanticscholar.org/paper/9201bf6f8222c2335913002e13fbac640fc0f4ec,2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2015,2
1405.0312,"[{'authorId': '33493200', 'name': 'Tsung-Yi Lin', 'url': 'https://www.semanticscholar.org/author/33493200'}, {'authorId': '145854440', 'name': 'Michael Maire', 'url': 'https://www.semanticscholar.org/author/145854440'}, {'authorId': '50172592', 'name': 'Serge J. Belongie', 'url': 'https://www.semanticscholar.org/author/50172592'}, {'authorId': '48966748', 'name': 'James Hays', 'url': 'https://www.semanticscholar.org/author/48966748'}, {'authorId': '1690922', 'name': 'Pietro Perona', 'url': 'https://www.semanticscholar.org/author/1690922'}, {'authorId': '1770537', 'name': 'Deva Ramanan', 'url': 'https://www.semanticscholar.org/author/1770537'}, {'authorId': '3127283', 'name': 'Piotr Dollár', 'url': 'https://www.semanticscholar.org/author/3127283'}, {'authorId': '1699161', 'name': 'C. Lawrence Zitnick', 'url': 'https://www.semanticscholar.org/author/1699161'}]",1901,7058,14113767,10.1007/978-3-319-10602-1_48,['Computer Science'],1584,True,True,71b7178df5d2b112d07e45038cb5637208659ff7,48,Microsoft COCO: Common Objects in Context,"[{'topic': 'ImageNet', 'topicId': '256302', 'url': 'https://www.semanticscholar.org/topic/256302'}, {'topic': 'Outline of object recognition', 'topicId': '34569', 'url': 'https://www.semanticscholar.org/topic/34569'}, {'topic': 'User interface', 'topicId': '4509', 'url': 'https://www.semanticscholar.org/topic/4509'}, {'topic': 'Minimum bounding box', 'topicId': '195508', 'url': 'https://www.semanticscholar.org/topic/195508'}, {'topic': 'Pascal', 'topicId': '11925', 'url': 'https://www.semanticscholar.org/topic/11925'}, {'topic': 'Baseline (configuration management)', 'topicId': '3403', 'url': 'https://www.semanticscholar.org/topic/3403'}]",https://www.semanticscholar.org/paper/71b7178df5d2b112d07e45038cb5637208659ff7,ECCV,2014,2
1512.03385,"[{'authorId': '39353098', 'name': 'Kaiming He', 'url': 'https://www.semanticscholar.org/author/39353098'}, {'authorId': '1771551', 'name': 'Xiangyu Zhang', 'url': 'https://www.semanticscholar.org/author/1771551'}, {'authorId': '3080683', 'name': 'Shaoqing Ren', 'url': 'https://www.semanticscholar.org/author/3080683'}, {'authorId': None, 'name': 'Jian Sun', 'url': None}]",9540,9992,206594692,10.1109/cvpr.2016.90,['Computer Science'],8538,True,True,2c03df8b48bf3fa39054345bafabfeff15bfd11d,47,Deep Residual Learning for Image Recognition,"[{'topic': 'ImageNet', 'topicId': '256302', 'url': 'https://www.semanticscholar.org/topic/256302'}, {'topic': 'Object detection', 'topicId': '14349', 'url': 'https://www.semanticscholar.org/topic/14349'}, {'topic': 'Test set', 'topicId': '24168', 'url': 'https://www.semanticscholar.org/topic/24168'}, {'topic': 'Artificial neural network', 'topicId': '6213', 'url': 'https://www.semanticscholar.org/topic/6213'}, {'topic': 'Computer vision', 'topicId': '5332', 'url': 'https://www.semanticscholar.org/topic/5332'}]",https://www.semanticscholar.org/paper/2c03df8b48bf3fa39054345bafabfeff15bfd11d,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2016,3
1605.03170,"[{'authorId': '3205238', 'name': 'Eldar Insafutdinov', 'url': 'https://www.semanticscholar.org/author/3205238'}, {'authorId': '2299109', 'name': 'Leonid Pishchulin', 'url': 'https://www.semanticscholar.org/author/2299109'}, {'authorId': '16576043', 'name': 'Bjoern Andres', 'url': 'https://www.semanticscholar.org/author/16576043'}, {'authorId': '1906895', 'name': 'Mykhaylo Andriluka', 'url': 'https://www.semanticscholar.org/author/1906895'}, {'authorId': '48920094', 'name': 'Bernt Schiele', 'url': 'https://www.semanticscholar.org/author/48920094'}]",115,399,6736694,10.1007/978-3-319-46466-4_3,['Computer Science'],46,True,True,a2f4cae1acba37426372718fc30745055c8c2140,30,"DeeperCut: A Deeper, Stronger, and Faster Multi-person Pose Estimation Model","[{'topic': 'Benchmark (computing)', 'topicId': '1374', 'url': 'https://www.semanticscholar.org/topic/1374'}, {'topic': 'Mathematical optimization', 'topicId': '89', 'url': 'https://www.semanticscholar.org/topic/89'}, {'topic': 'Sensor', 'topicId': '1117', 'url': 'https://www.semanticscholar.org/topic/1117'}, {'topic': 'Hypertext Transfer Protocol', 'topicId': '28225', 'url': 'https://www.semanticscholar.org/topic/28225'}, {'topic': '3D pose estimation', 'topicId': '16658', 'url': 'https://www.semanticscholar.org/topic/16658'}, {'topic': 'Bottom-up parsing', 'topicId': '682974', 'url': 'https://www.semanticscholar.org/topic/682974'}]",https://www.semanticscholar.org/paper/a2f4cae1acba37426372718fc30745055c8c2140,ECCV,2016,3
1511.06645,"[{'authorId': '2299109', 'name': 'Leonid Pishchulin', 'url': 'https://www.semanticscholar.org/author/2299109'}, {'authorId': '3205238', 'name': 'Eldar Insafutdinov', 'url': 'https://www.semanticscholar.org/author/3205238'}, {'authorId': '39578749', 'name': 'Siyu Tang', 'url': 'https://www.semanticscholar.org/author/39578749'}, {'authorId': '16576043', 'name': 'Bjoern Andres', 'url': 'https://www.semanticscholar.org/author/16576043'}, {'authorId': '1906895', 'name': 'Mykhaylo Andriluka', 'url': 'https://www.semanticscholar.org/author/1906895'}, {'authorId': '2871555', 'name': 'Peter V. Gehler', 'url': 'https://www.semanticscholar.org/author/2871555'}, {'authorId': '48920094', 'name': 'Bernt Schiele', 'url': 'https://www.semanticscholar.org/author/48920094'}]",104,375,5264846,10.1109/CVPR.2016.533,['Computer Science'],35,True,True,c10d25ca31df02571df8958d531995e7bbf6d0b3,22,DeepCut: Joint Subset Partition and Labeling for Multi Person Pose Estimation,"[{'topic': 'Linear programming', 'topicId': '12656', 'url': 'https://www.semanticscholar.org/topic/12656'}, {'topic': 'Sensor', 'topicId': '1117', 'url': 'https://www.semanticscholar.org/topic/1117'}, {'topic': 'Zero suppression', 'topicId': '986316', 'url': 'https://www.semanticscholar.org/topic/986316'}, {'topic': 'Experiment', 'topicId': '378', 'url': 'https://www.semanticscholar.org/topic/378'}, {'topic': '3D pose estimation', 'topicId': '16658', 'url': 'https://www.semanticscholar.org/topic/16658'}]",https://www.semanticscholar.org/paper/c10d25ca31df02571df8958d531995e7bbf6d0b3,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2016,3
